value,kind,reason,record_is_mock
Swift Resources Agency,name,Delisted following confirmed placement fee fraud,true
Eastwind Manpower Agency,name,Licence revoked after trafficking investigation,true
Metro Connect Recruiters,name,Multiple confirmed complaints of advance fee fraud,true
Blue Nile Recruitment Agency,name,Licence revoked after confirmed contract substitution,true
Golden Gate Manpower,name,Operating without a licence,true
Prime Gulf Placements,name,Confirmed passport retention complaints,true
Al Mansour Overseas Recruitment,name,Unlicensed overseas placement,true
Star Bridge Employment Agency,name,Confirmed advance fee fraud,true
gulfjobs.recruit@gmail.com,email,Address linked to several fraudulent overseas listings,true
overseas.jobs.ke@gmail.com,email,Address used across multiple reported fee scams,true
hr.recruitment254@yahoo.com,email,Address linked to confirmed impersonation of a licensed agency,true
quickhire-ke.com,domain,Domain used to impersonate licensed agencies,true
jobs-gulf-recruit.com,domain,Domain linked to fraudulent overseas placements,true
nea-verify.net,domain,Domain impersonating an official verification service,true
+254712000111,phone,Number linked to confirmed mobile money scam reports,true
+254733445566,phone,Number reported in multiple placement fee complaints,true
