company_id,company_name,registration_number,status,county,record_is_mock
C-001,Safaricom PLC,C.12345,active,Nairobi,true
C-002,Kenya Commercial Bank,C.10021,active,Nairobi,true
C-003,Mediamax Network Limited,C.44120,active,Nairobi,true
C-004,Bidco Africa Limited,C.20114,active,Kiambu,true
C-005,Twiga Foods Limited,C.51002,active,Nairobi,true
C-006,TakaTaka Solutions Limited,C.60881,active,Kiambu,true
C-007,Jubilee Insurance Company,C.11876,active,Nairobi,true
C-008,Sanlam Kenya PLC,C.13990,active,Nairobi,true
C-009,Naivas Limited,C.30775,active,Nairobi,true
C-010,Kenya Airways PLC,C.10344,active,Nairobi,true
C-011,Brookside Dairy Limited,C.22019,active,Kiambu,true
C-012,Equity Group Holdings,C.10998,active,Nairobi,true
C-013,Highland Springs Hotel Limited,C.71234,dormant,Nakuru,true
C-014,Coastline Logistics Kenya,C.66120,active,Mombasa,true
C-015,Rift Valley Agro Limited,C.48221,active,Nakuru,true
C-016,Co-operative Bank of Kenya,C.10455,active,Nairobi,true
C-017,Absa Bank Kenya PLC,C.10778,active,Nairobi,true
C-018,NCBA Group PLC,C.11203,active,Nairobi,true
C-019,Stanbic Bank Kenya,C.10912,active,Nairobi,true
C-020,Diamond Trust Bank Kenya,C.11540,active,Nairobi,true
C-021,I&M Bank Limited,C.12067,active,Nairobi,true
C-022,Family Bank Limited,C.13388,active,Nairobi,true
C-023,Britam Holdings PLC,C.14201,active,Nairobi,true
C-024,ICEA LION Group,C.14899,active,Nairobi,true
C-025,East African Breweries Limited,C.10077,active,Nairobi,true
C-026,BAT Kenya PLC,C.10188,active,Nairobi,true
C-027,Unga Group PLC,C.10233,active,Nairobi,true
C-028,Kenya Power and Lighting Company,C.10011,active,Nairobi,true
C-029,KenGen PLC,C.10033,active,Nairobi,true
C-030,Kenya Pipeline Company,C.10044,active,Nairobi,true
C-031,Kenya Ports Authority,C.10055,active,Mombasa,true
C-032,Kenya Airports Authority,C.10066,active,Nairobi,true
C-033,Nation Media Group PLC,C.10099,active,Nairobi,true
C-034,Standard Group PLC,C.10122,active,Nairobi,true
C-035,Royal Media Services Limited,C.31200,active,Nairobi,true
C-036,Jumia Kenya,C.55410,active,Nairobi,true
C-037,M-KOPA Kenya Limited,C.58822,active,Nairobi,true
C-038,Sendy Limited,C.59103,dormant,Nairobi,true
C-039,Cellulant Kenya Limited,C.52377,active,Nairobi,true
C-040,Kenya Red Cross Society,C.20900,active,Nairobi,true
C-041,Amref Health Africa,C.21455,active,Nairobi,true
C-042,Nairobi Hospital,C.15677,active,Nairobi,true
C-043,Aga Khan University Hospital,C.15788,active,Nairobi,true
C-044,Kenyatta University,C.16000,active,Kiambu,true
C-045,Strathmore University,C.16122,active,Nairobi,true
C-046,Carrefour Kenya,C.57011,active,Nairobi,true
C-047,Quickmart Limited,C.54388,active,Nairobi,true
C-048,Chandarana Supermarkets,C.34122,active,Nairobi,true
C-049,Bamburi Cement PLC,C.10155,active,Mombasa,true
C-050,Kakuzi PLC,C.10266,active,Murang'a,true
C-051,Williamson Tea Kenya,C.10377,active,Kericho,true
C-052,James Finlay Kenya,C.10488,active,Kericho,true
C-053,Del Monte Kenya Limited,C.10599,active,Murang'a,true
C-054,Kisumu Millers Limited,C.41022,active,Kisumu,true
C-055,Lake Basin Agro Limited,C.42188,dormant,Kisumu,true
C-056,Eldoret Steel Works,C.43255,active,Uasin Gishu,true
C-057,Nakuru Fresh Produce Limited,C.44366,active,Nakuru,true
C-058,Thika Cloth Mills,C.45477,active,Kiambu,true
C-059,Machakos Water Company,C.46588,active,Machakos,true
C-060,Garissa County Services Limited,C.47699,active,Garissa,true
